year,id,re,treat,age,education,black,hispanic,married,nodegree,u74,u75,uniqueid
1978.0,1,9930.05,1,37,11,1,0,1,1,1,1,1-1978
1978.0,2,3595.89,1,22,9,0,1,0,1,1,1,2-1978
1978.0,3,24909.5,1,30,12,1,0,0,0,1,1,3-1978
1978.0,4,7506.15,1,27,11,1,0,0,1,1,1,4-1978
1978.0,5,289.79,1,33,8,1,0,0,1,1,1,5-1978
1978.0,6,4056.49,1,22,9,1,0,0,1,1,1,6-1978
1978.0,7,0.0,1,23,12,1,0,0,0,1,1,7-1978
1978.0,8,8472.16,1,32,11,1,0,0,1,1,1,8-1978
1978.0,9,2164.02,1,22,16,1,0,0,0,1,1,9-1978
1978.0,10,12418.1,1,33,12,0,0,1,0,1,1,10-1978
1978.0,11,8173.91,1,19,9,1,0,0,1,1,1,11-1978
1978.0,12,17094.6,1,21,13,1,0,0,0,1,1,12-1978
1978.0,13,0.0,1,18,8,1,0,0,1,1,1,13-1978
1978.0,14,18739.9,1,27,10,1,0,1,1,1,1,14-1978
1978.0,15,3023.88,1,17,7,1,0,0,1,1,1,15-1978
1978.0,16,3228.5,1,19,10,1,0,0,1,1,1,16-1978
1978.0,17,14581.9,1,27,13,1,0,0,0,1,1,17-1978
1978.0,18,7693.4,1,23,10,1,0,0,1,1,1,18-1978
1978.0,19,10804.3,1,40,12,1,0,0,0,1,1,19-1978
1978.0,20,10747.4,1,26,12,1,0,0,0,1,1,20-1978
1978.0,21,0.0,1,23,11,1,0,0,1,1,1,21-1978
1978.0,22,5149.5,1,41,14,0,0,0,0,1,1,22-1978
1978.0,23,6408.95,1,38,9,0,0,0,1,1,1,23-1978
1978.0,24,1991.4,1,24,11,1,0,0,1,1,1,24-1978
1978.0,25,11163.2,1,18,10,1,0,0,1,1,1,25-1978
1978.0,26,9643.0,1,29,11,1,0,1,1,1,1,26-1978
1978.0,27,9897.05,1,25,11,1,0,0,1,1,1,27-1978
1978.0,28,11142.9,1,27,10,0,1,0,1,1,1,28-1978
1978.0,29,16218.0,1,17,10,1,0,0,1,1,1,29-1978
1978.0,30,995.7,1,24,11,1,0,0,1,1,1,30-1978
1978.0,31,0.0,1,17,10,1,0,0,1,1,1,31-1978
1978.0,32,6551.59,1,48,4,1,0,0,1,1,1,32-1978
1978.0,33,1574.42,1,25,11,1,0,1,1,1,1,33-1978
1978.0,34,0.0,1,20,12,1,0,0,0,1,1,34-1978
1978.0,35,3191.75,1,25,12,1,0,0,0,1,1,35-1978
1978.0,36,20505.9,1,42,14,1,0,0,0,1,1,36-1978
1978.0,37,6181.88,1,25,5,1,0,0,1,1,1,37-1978
1978.0,38,5911.55,1,23,12,1,0,1,0,1,1,38-1978
1978.0,39,3094.16,1,46,8,1,0,1,1,1,1,39-1978
1978.0,40,0.0,1,24,10,1,0,0,1,1,1,40-1978
1978.0,41,1254.58,1,21,12,1,0,0,0,1,1,41-1978
1978.0,42,13188.8,1,19,9,0,0,0,1,1,1,42-1978
1978.0,43,8061.49,1,17,8,1,0,0,1,1,1,43-1978
1978.0,44,2787.96,1,18,8,0,1,1,1,1,1,44-1978
1978.0,45,3972.54,1,20,11,1,0,0,1,1,1,45-1978
1978.0,46,0.0,1,25,11,1,0,1,1,1,1,46-1978
1978.0,47,0.0,1,17,8,1,0,0,1,1,1,47-1978
1978.0,48,0.0,1,17,9,1,0,0,1,1,1,48-1978
1978.0,49,12187.4,1,25,5,1,0,0,1,1,1,49-1978
1978.0,50,4843.18,1,23,12,1,0,0,0,1,1,50-1978
1978.0,51,0.0,1,28,8,1,0,0,1,1,1,51-1978
1978.0,52,8087.49,1,31,11,1,0,1,1,1,1,52-1978
1978.0,53,0.0,1,18,11,1,0,0,1,1,1,53-1978
1978.0,54,2348.97,1,25,12,1,0,0,0,1,1,54-1978
1978.0,55,590.782,1,30,11,1,0,1,1,1,1,55-1978
1978.0,56,0.0,1,17,10,1,0,0,1,1,1,56-1978
1978.0,57,1067.51,1,37,9,1,0,0,1,1,1,57-1978
1978.0,58,7284.99,1,41,4,1,0,1,1,1,1,58-1978
1978.0,59,13167.5,1,42,14,1,0,1,0,1,1,59-1978
1978.0,60,1048.43,1,22,11,0,0,0,1,1,1,60-1978
1978.0,61,0.0,1,17,8,1,0,0,1,1,1,61-1978
1978.0,62,1923.94,1,29,8,1,0,0,1,1,1,62-1978
1978.0,63,4666.24,1,35,10,1,0,0,1,1,1,63-1978
1978.0,64,549.298,1,27,11,1,0,0,1,1,1,64-1978
1978.0,65,762.915,1,29,4,1,0,0,1,1,1,65-1978
1978.0,66,10694.3,1,28,9,1,0,0,1,1,1,66-1978
1978.0,67,0.0,1,27,11,1,0,0,1,1,1,67-1978
1978.0,68,0.0,1,23,7,0,0,0,1,1,1,68-1978
1978.0,69,8546.72,1,45,5,1,0,1,1,1,1,69-1978
1978.0,70,7479.66,1,29,13,1,0,0,0,1,1,70-1978
1978.0,71,0.0,1,27,9,1,0,0,1,1,1,71-1978
1978.0,72,647.205,1,46,13,1,0,0,0,1,1,72-1978
1978.0,73,0.0,1,18,6,1,0,0,1,1,1,73-1978
1978.0,74,11965.8,1,25,12,1,0,0,0,1,1,74-1978
1978.0,75,9598.54,1,28,15,1,0,0,0,1,1,75-1978
1978.0,76,18783.4,1,25,11,0,0,0,1,1,1,76-1978
1978.0,77,18678.1,1,22,12,1,0,0,0,1,1,77-1978
1978.0,78,0.0,1,21,9,1,0,0,1,1,1,78-1978
1978.0,79,23005.6,1,40,11,1,0,0,1,1,1,79-1978
1978.0,80,6456.7,1,22,11,1,0,0,1,1,1,80-1978
1978.0,81,0.0,1,25,12,1,0,0,0,1,1,81-1978
1978.0,82,2321.11,1,18,12,1,0,0,0,1,1,82-1978
1978.0,83,4941.85,1,38,12,0,0,0,0,1,1,83-1978
1978.0,84,0.0,1,27,13,1,0,0,0,1,1,84-1978
1978.0,85,0.0,1,27,8,1,0,0,1,1,1,85-1978
1978.0,86,0.0,1,38,11,1,0,0,1,1,1,86-1978
1978.0,87,3881.28,1,23,8,0,1,0,1,1,1,87-1978
1978.0,88,17231.0,1,26,11,1,0,0,1,1,1,88-1978
1978.0,89,8048.6,1,21,12,0,0,0,0,1,1,89-1978
1978.0,90,0.0,1,25,8,1,0,0,1,1,1,90-1978
1978.0,91,14509.9,1,31,11,1,0,1,1,1,1,91-1978
1978.0,92,0.0,1,17,10,1,0,0,1,1,1,92-1978
1978.0,93,0.0,1,25,11,1,0,0,1,1,1,93-1978
1978.0,94,9983.78,1,21,12,1,0,0,0,1,1,94-1978
1978.0,95,0.0,1,44,11,1,0,0,1,1,1,95-1978
1978.0,96,5587.5,1,25,12,0,0,0,0,1,1,96-1978
1978.0,97,4482.85,1,18,9,1,0,0,1,1,1,97-1978
1978.0,98,2456.15,1,42,12,1,0,0,0,1,1,98-1978
1978.0,99,0.0,1,25,10,1,0,0,1,1,1,99-1978
1978.0,100,26817.6,1,31,9,0,1,0,1,1,1,100-1978
1978.0,101,0.0,1,24,10,1,0,0,1,1,1,101-1978
1978.0,102,9265.79,1,26,10,1,0,0,1,1,1,102-1978
1978.0,103,485.23,1,25,11,1,0,0,1,1,1,103-1978
1978.0,104,4814.63,1,18,11,1,0,0,1,1,1,104-1978
1978.0,105,7458.11,1,19,11,1,0,0,1,1,1,105-1978
