year,id,re,treat,age,education,black,hispanic,married,nodegree,u74,u75,uniqueid
1978.0,1,9930.05,1.0,37.0,11.0,1.0,0.0,1.0,1.0,1.0,1.0,1-1978
1978.0,2,3595.89,1.0,22.0,9.0,0.0,1.0,0.0,1.0,1.0,1.0,2-1978
1978.0,3,24909.5,1.0,30.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,3-1978
1978.0,4,7506.15,1.0,27.0,11.0,1.0,0.0,0.0,1.0,1.0,1.0,4-1978
1978.0,5,289.79,1.0,33.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,5-1978
1978.0,6,4056.49,1.0,22.0,9.0,1.0,0.0,0.0,1.0,1.0,1.0,6-1978
1978.0,7,0.0,1.0,23.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,7-1978
1978.0,8,8472.16,1.0,32.0,11.0,1.0,0.0,0.0,1.0,1.0,1.0,8-1978
1978.0,9,2164.02,1.0,22.0,16.0,1.0,0.0,0.0,0.0,1.0,1.0,9-1978
1978.0,10,12418.1,1.0,33.0,12.0,0.0,0.0,1.0,0.0,1.0,1.0,10-1978
1978.0,11,8173.91,1.0,19.0,9.0,1.0,0.0,0.0,1.0,1.0,1.0,11-1978
1978.0,12,17094.6,1.0,21.0,13.0,1.0,0.0,0.0,0.0,1.0,1.0,12-1978
1978.0,13,0.0,1.0,18.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,13-1978
1978.0,14,18739.9,1.0,27.0,10.0,1.0,0.0,1.0,1.0,1.0,1.0,14-1978
1978.0,15,3023.88,1.0,17.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,15-1978
1978.0,16,3228.5,1.0,19.0,10.0,1.0,0.0,0.0,1.0,1.0,1.0,16-1978
1978.0,17,14581.9,1.0,27.0,13.0,1.0,0.0,0.0,0.0,1.0,1.0,17-1978
1978.0,18,7693.4,1.0,23.0,10.0,1.0,0.0,0.0,1.0,1.0,1.0,18-1978
1978.0,19,10804.3,1.0,40.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,19-1978
1978.0,20,10747.4,1.0,26.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,20-1978
1978.0,21,0.0,1.0,23.0,11.0,1.0,0.0,0.0,1.0,1.0,1.0,21-1978
1978.0,22,5149.5,1.0,41.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,22-1978
1978.0,23,6408.95,1.0,38.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,23-1978
1978.0,24,1991.4,1.0,24.0,11.0,1.0,0.0,0.0,1.0,1.0,1.0,24-1978
1978.0,25,11163.2,1.0,18.0,10.0,1.0,0.0,0.0,1.0,1.0,1.0,25-1978
1978.0,26,9643.0,1.0,29.0,11.0,1.0,0.0,1.0,1.0,1.0,1.0,26-1978
1978.0,27,9897.05,1.0,25.0,11.0,1.0,0.0,0.0,1.0,1.0,1.0,27-1978
1978.0,28,11142.9,1.0,27.0,10.0,0.0,1.0,0.0,1.0,1.0,1.0,28-1978
1978.0,29,16218.0,1.0,17.0,10.0,1.0,0.0,0.0,1.0,1.0,1.0,29-1978
1978.0,30,995.7,1.0,24.0,11.0,1.0,0.0,0.0,1.0,1.0,1.0,30-1978
1978.0,31,0.0,1.0,17.0,10.0,1.0,0.0,0.0,1.0,1.0,1.0,31-1978
1978.0,32,6551.59,1.0,48.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,32-1978
1978.0,33,1574.42,1.0,25.0,11.0,1.0,0.0,1.0,1.0,1.0,1.0,33-1978
1978.0,34,0.0,1.0,20.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,34-1978
1978.0,35,3191.75,1.0,25.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,35-1978
1978.0,36,20505.9,1.0,42.0,14.0,1.0,0.0,0.0,0.0,1.0,1.0,36-1978
1978.0,37,6181.88,1.0,25.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,37-1978
